Ticket_ID,SubmittedAt,UpdatedAt,UserID,TicketSubject,TicketDescription,Status,Priority,Agent,Churn
ZD-e0c5d3b1,2023-06-13T20:38:30.956292,2023-06-29T20:38:30.956292,USER-5766,Part city section practice decision American number. Among across next wish until reach whatever.,Firm chair military space force serve. Especially may cell people beat special.,Solved,High,Joseph Evans,0
ZD-95d994b4,2024-06-07T13:44:32.434514,2024-06-30T13:44:32.434514,USER-4384,Believe car shoulder ready. Mrs star nothing first she finish bring.,Inside relationship worker find understand size create. Nation decide though benefit morning remain involve.,New,Low,Jessica George,0
ZD-7ec6485d,2023-10-27T01:58:53.858019,2023-10-29T01:58:53.858019,USER-2201,Then sea especially nature east. Fire finally carry lay.,End traditional although else meet. Pass stuff occur environment heart.,Solved,Urgent,Desiree Graham,1
ZD-7e0d14f6,2024-07-10T16:56:15.087488,2024-07-11T16:56:15.087488,USER-2249,Although so short business step hold crime population. Same second music town medical series recognize.,Dream successful lead class score require. Them move explain when style place.,Solved,High,Rebecca Smith,0
ZD-1e607377,2023-09-19T00:54:15.842901,2023-10-03T00:54:15.842901,USER-4574,Or number read against all season write business. Reflect reach traditional particular onto security.,Imagine exist mission positive prepare do kid into. Way traditional prove language suddenly cut suggest.,Closed,Low,Jeremiah Johnson,0
ZD-78cd78a1,2024-02-18T17:15:47.281466,2024-02-19T17:15:47.281466,USER-1548,Dream agency than to parent always. Sense possible travel.,Voice goal talk year strong most relationship about. Successful scene condition should society.,New,Normal,John Ferguson,0
ZD-691a7f86,2023-07-20T22:27:28.637993,2023-07-31T22:27:28.637993,USER-8001,Science the have sure fact. Business generation again else suffer some imagine.,Its fact those toward. Check sure case describe themselves alone.,New,High,Pamela Burke,1
ZD-b855a5ea,2024-05-26T08:25:22.634809,2024-06-02T08:25:22.634809,USER-6436,Beat however bill other three citizen. Else once mention never.,Assume keep question million. Forget sound Democrat claim heart.,Closed,Normal,Nathan Singleton,1
ZD-2020ed62,2023-06-14T15:40:51.647929,2023-06-19T15:40:51.647929,USER-4065,Personal mind question bring. Section know matter ability anyone wrong interest.,Memory set anything field response. Reach lose land owner.,Solved,Urgent,Diana Griffith,1
ZD-c6013ed2,2023-08-09T20:52:42.847699,2023-08-20T20:52:42.847699,USER-3596,Decide accept memory direction test where. Own anyone ask us tax.,Practice strong soon audience talk eye international them. Race question attack bring small.,Solved,Normal,Trevor Calderon,0
ZD-a990d4a4,2023-08-31T14:39:03.059750,2023-09-17T14:39:03.059750,USER-9419,Organization right role determine. Nothing room nothing risk evening view wide.,Attention result understand camera whatever benefit live. Glass deal at former speak street all.,Solved,High,David Fuller,0
ZD-0ab101c5,2024-08-04T08:18:08.758646,2024-08-07T08:18:08.758646,USER-3736,Include any buy now rest garden eye stock. Minute test agency sound personal subject.,Son follow through item space until. Structure these economy building data company chance long.,New,Low,Karen Tanner,0
ZD-9bd760c7,2023-03-03T08:38:31.594670,2023-03-16T08:38:31.594670,USER-3540,Send kid type house traditional radio. Ever local week film resource right.,Spring sister suddenly arm three cut goal. Foot understand PM help single.,New,Urgent,Timothy Stone,0
ZD-8de9ba87,2024-01-28T19:30:24.322194,2024-02-27T19:30:24.322194,USER-9859,Old others mind Mrs. Show worker her sport.,True decade majority treatment huge last amount sound. Purpose about foreign garden.,New,High,Alexis Mills,0
ZD-596f4762,2024-06-02T13:51:37.394539,2024-06-10T13:51:37.394539,USER-5219,On writer mention foreign. Space activity seven window true politics just.,Born leader little number pretty class. Door child away raise.,Closed,High,Dawn Clements,0
ZD-fcfd3cb9,2023-03-06T00:16:55.173444,2023-04-01T00:16:55.173444,USER-5215,Word attention less visit because author. Left word lawyer may.,Particular land region under wall listen sign. Every capital instead evening.,Pending,Low,Ryan Lewis,0
ZD-cd007ff9,2024-04-13T02:21:58.748906,2024-05-06T02:21:58.748906,USER-4476,Try professional discover model feel begin him. Kind another eat move in.,Particular receive whom material doctor month cut. Against serve certain long.,Closed,Urgent,Alex Hill,0
ZD-fa77c625,2024-03-07T04:05:03.903962,2024-04-02T04:05:03.903962,USER-1697,Out wrong north. Finish property foot value particularly talk.,Personal hundred issue drug. Short throw wear son.,Open,Normal,Rhonda White MD,1
ZD-fd277b92,2024-05-17T02:04:21.524530,2024-05-24T02:04:21.524530,USER-3871,Poor any him never key safe sure eight. Of partner strong.,Attention left government wrong scientist hot. Federal others rock event.,Pending,Urgent,Joseph Wallace,1
ZD-35ac90b9,2023-12-27T15:03:46.791886,2024-01-09T15:03:46.791886,USER-9799,Commercial to relate week while. Could generation treatment thousand sort throughout across seek.,Usually else approach food fund probably. Fast standard relate.,Open,Urgent,Crystal Garcia,0
ZD-6da0271b,2024-11-17T10:08:34.838529,2024-12-09T10:08:34.838529,USER-8641,Say student nice increase anything this consumer. Start right time guess tree.,Idea affect experience home avoid. Cup recognize century once concern then.,Pending,Low,Peter Clayton,0
ZD-17222241,2024-05-27T03:19:38.615651,2024-06-04T03:19:38.615651,USER-5751,Resource white purpose next reason score mother cultural. True serve girl value today.,We white land data. Need reveal position toward.,Solved,High,Jacqueline Pacheco,0
ZD-852db4f2,2024-05-02T06:56:59.871407,2024-05-06T06:56:59.871407,USER-7600,Thing hear born manage house. Report garden sound sound.,Need blood per foreign ball degree probably. Tough today action bit be.,Open,High,Omar Thompson,1
ZD-2a602027,2023-05-03T00:59:00.695490,2023-05-29T00:59:00.695490,USER-7176,True site under technology who chance. Car join set remember machine finally.,Even kid subject note letter each thousand. Or movement ever bit himself.,Open,Low,Anna Brown,0
ZD-a410d936,2024-07-02T18:14:00.101189,2024-07-07T18:14:00.101189,USER-5877,End hundred key standard enough. Through himself stand within public card.,Visit floor much lawyer me. Claim design value paper office.,New,High,Diana White,0
ZD-09d79bd3,2024-03-20T04:43:10.687922,2024-04-01T04:43:10.687922,USER-7859,Follow job woman. Sing sort human lawyer window race bit.,How race good word seat. Me notice person worker our lot.,Open,High,James Bryant,0
ZD-01ae0995,2025-02-12T02:15:50.666813,2025-02-24T02:15:50.666813,USER-5084,Attention during decision wrong bad just. Sort important two bad so including.,Social outside wait memory coach somebody. Parent account remember state.,Closed,Urgent,Leslie Norris,1
ZD-e3d9499a,2024-07-09T03:05:38.620875,2024-07-22T03:05:38.620875,USER-2423,Green usually increase rather more. Price bar include manager treatment rest challenge.,Window wide career either will image. Entire marriage stay quickly first to water understand.,Closed,High,Christopher Lucas,0
ZD-b1f4bb08,2023-06-10T09:32:57.396605,2023-06-17T09:32:57.396605,USER-4261,Early modern involve book firm. Account nothing subject organization fight never officer low.,Difficult line direction. Possible everybody southern reduce together most accept.,Closed,Low,Sean Phillips,0
ZD-3cd1b115,2023-04-27T14:29:53.358043,2023-04-27T14:29:53.358043,USER-8224,Parent third his agree natural front. Minute chair young prepare especially.,Successful wall song face authority. Behind describe election water play.,Solved,Normal,Travis Miller,0
ZD-0d3fe728,2023-06-07T00:30:56.624211,2023-06-27T00:30:56.624211,USER-4577,Miss camera five certain community reason rest. Major media very international head back.,Culture plan stand edge challenge order site. Investment sing social evidence play catch.,Open,Urgent,Matthew White,0
ZD-a0112e2f,2023-03-19T05:17:47.754017,2023-03-21T05:17:47.754017,USER-3332,Prove see Congress certain color stay. Push star watch political happy foreign worker.,Personal Congress great church do up. Sing both off she deal relate.,Closed,Low,Tim Meyer,0
ZD-1ec0f77b,2024-02-18T20:57:52.396383,2024-02-26T20:57:52.396383,USER-6181,Wide interest bank not. Million baby decide according budget now actually situation.,Meeting factor contain not him act herself. Ability garden ready social team.,Closed,High,Jill James,0
ZD-fc1a2ce8,2023-03-17T22:32:03.630517,2023-03-31T22:32:03.630517,USER-2610,Entire stay though listen spend political. Here term bed live doctor.,Down factor reflect student assume make. Sell Congress consumer company.,New,Normal,Mr. Nicholas Harris,0
ZD-b4164440,2024-07-05T19:26:01.567253,2024-08-04T19:26:01.567253,USER-1569,These message food father also either. Gas campaign eat well around you federal raise.,Apply big thought threat thank. From college responsibility community accept throughout fear.,Closed,Urgent,Brendan Evans,1
ZD-c9798bab,2023-09-19T13:55:17.198278,2023-10-03T13:55:17.198278,USER-6723,Table finally human edge sell old. North oil I red respond value.,Environment cell step new economic marriage. Memory open bit half cut administration.,New,High,Tammy Patton,0
ZD-07ba3d3f,2023-07-21T05:17:58.425358,2023-08-17T05:17:58.425358,USER-3990,Car nature class whole. Time Republican pay focus science trip.,Rich risk again one different. Ok ground if book marriage discuss.,Pending,High,Jason Adams,0
ZD-180f8c55,2024-11-10T05:27:22.187224,2024-11-29T05:27:22.187224,USER-9902,This this boy politics medical crime effect. Form enough talk mention discuss nature.,Key own control practice break pass write. Current teacher call visit black break compare.,Closed,Normal,Gregory Martin,1
ZD-03386626,2024-09-26T21:25:11.446559,2024-09-30T21:25:11.446559,USER-3701,Community adult stay mind surface sign answer. Final watch fight back officer voice.,Be avoid sing heart growth. Picture should deep play.,Solved,Urgent,Megan Jones,0
ZD-5b73b433,2024-07-15T05:03:23.082575,2024-07-21T05:03:23.082575,USER-2336,Herself million add quality week. Campaign kind son exactly apply.,Money nature item level population major. Statement something best majority so big.,Closed,Low,Joseph Meadows,0
ZD-64b21747,2024-04-11T05:01:50.592999,2024-05-02T05:01:50.592999,USER-9745,Enjoy day full first. Most discover spend.,Center special thing first little year store. Turn hotel language herself south free morning.,Closed,Low,Charlene Hanson,0
ZD-f4f1cab9,2024-04-14T14:48:23.421886,2024-04-24T14:48:23.421886,USER-9710,Already company field through worker agent may. Fine often staff beat sure treat.,Check hour ahead member. Analysis you available may course movement.,Pending,High,Kristen Blair,0
ZD-6e340855,2023-03-10T17:32:56.038905,2023-04-05T17:32:56.038905,USER-9810,Student just service man several heart. Hundred friend heart.,Half something operation board case. Only training realize people.,Solved,Normal,Jennifer Jackson,0
ZD-480dd818,2024-10-30T18:11:18.272112,2024-11-18T18:11:18.272112,USER-9471,Very energy spring nice energy. Now reach response mention himself so effect.,Quite modern through too performance. Thought art time environment act.,Solved,Urgent,Joseph Hahn,0
ZD-a9768930,2024-09-08T08:07:11.781550,2024-09-08T08:07:11.781550,USER-6150,Structure part discover. Speech week reach organization expert.,Let office major agent central realize account sing. Yeah under scene difficult common notice.,Pending,Urgent,Kevin Sanchez,1
ZD-11cf2f26,2023-09-01T18:53:22.511249,2023-09-16T18:53:22.511249,USER-8811,Congress apply throw value crime. Hit approach draw blue.,Future budget religious else common. Store prepare near step rather.,New,High,Dr. Robert Carter MD,1
ZD-a702cd36,2023-04-15T00:21:49.166212,2023-05-07T00:21:49.166212,USER-4558,Back produce play sea. Cold do throughout condition stuff around car.,Act politics Republican cut human yes have. Professor feeling beat race commercial.,Open,Urgent,Christopher Roach,0
ZD-4bfad63d,2023-11-23T01:30:06.742264,2023-12-16T01:30:06.742264,USER-6600,Human start result once too language get. Ok notice community quite window.,Success a first charge. Good life under animal.,Pending,High,Michelle Williams,0
ZD-3b1a015f,2024-12-09T08:39:56.543712,2024-12-09T08:39:56.543712,USER-4519,Mean trial anything size onto person. Music clear who news teach chair.,Picture like case culture though such. Increase seek result leg marriage area.,New,Urgent,Holly Cooley,0
ZD-f30591a6,2023-04-26T05:39:48.033386,2023-04-29T05:39:48.033386,USER-8719,People sound of fund. Else program official present.,Thousand half program management from. Eye live I again late short.,Open,Low,Tracie Fitzgerald,0
ZD-90701309,2024-03-27T05:02:02.826842,2024-03-27T05:02:02.826842,USER-8632,Floor customer clearly challenge ago be prevent own. Use physical summer south child food floor specific.,Eat majority return health attention officer. Party science her write finish civil story.,Solved,Normal,Ashley Johnson,0
ZD-491a8315,2023-11-20T14:14:44.068484,2023-12-16T14:14:44.068484,USER-2162,Instead lose early challenge. Use push husband forward medical discover.,Begin quickly give plant. Form physical result.,Closed,Urgent,Michael Garcia,1
ZD-30538cc8,2024-12-24T03:53:27.077739,2025-01-02T03:53:27.077739,USER-1825,Low speak it stock. Set because camera young list.,Where decide future receive week fire think. Term born upon listen paper team.,Solved,Low,Micheal Henderson,1
ZD-465524b5,2024-06-07T08:34:58.397321,2024-06-14T08:34:58.397321,USER-4582,Short hair indeed machine sell operation different account. Line Republican side bar fast next.,Foot knowledge cell reason really team. Job exist want best scene risk plan.,Closed,Low,James Wagner,0
ZD-1762d0d1,2023-04-17T22:40:08.949847,2023-04-23T22:40:08.949847,USER-2017,Among do case certainly. Continue avoid respond onto wear.,Read bill technology environmental today. Style something treatment total century true.,Solved,Urgent,Jennifer Maxwell,0
ZD-bafa25b1,2024-10-18T00:55:31.028333,2024-10-26T00:55:31.028333,USER-9039,Road clearly prevent body modern drug describe. Reason whom shoulder final gun.,See line foot provide. White lay military ground.,Solved,Urgent,Ruth Crawford,0
ZD-2d9162f9,2024-05-29T16:50:14.770016,2024-06-02T16:50:14.770016,USER-5451,Evidence half large because true open. Control base decision court school how accept.,Weight thank war radio. Pick knowledge race put future.,Solved,Urgent,Brittany Alexander,0
ZD-4cc16c89,2024-07-01T23:41:18.441695,2024-07-26T23:41:18.441695,USER-6259,School civil buy process. Goal voice as participant affect.,Amount change how official our. Away whose think grow resource once.,Closed,High,Anthony Gordon,0
ZD-b7794b18,2023-04-20T20:27:26.723188,2023-05-08T20:27:26.723188,USER-1465,Official onto data improve prove. Street some down over leave experience million.,War seek space size. Social always result base in.,New,High,Thomas Hunter,1
ZD-bab2484d,2025-02-16T08:20:27.085560,2025-02-16T08:20:27.085560,USER-2705,Collection become ok someone ten later. Available couple deal.,Which teacher upon father. Again thank national growth clear.,Open,Low,Donald Gibson,0
ZD-b721e15e,2024-10-02T05:52:16.307807,2024-10-28T05:52:16.307807,USER-1942,Wall sound be hair themselves. Team live throw.,Idea company feel hit address. Ahead total chance whom protect rise.,Open,Low,Samuel Jones,0
ZD-4d8d95fc,2024-06-05T15:06:43.477111,2024-06-19T15:06:43.477111,USER-2139,Heart top but support ok box administration court. Mention early process.,Training fall animal miss entire return. Environmental who give play certainly possible.,New,Urgent,Dominique Osborne,0
ZD-c1c5dd05,2024-04-22T07:11:17.706757,2024-05-08T07:11:17.706757,USER-6439,Throw skin total drive model. Physical radio stop information compare.,Everybody include book break. Professional administration explain environmental success prove economy.,Pending,High,Grace Brown,0
ZD-c62a1921,2024-03-08T09:04:19.160535,2024-03-20T09:04:19.160535,USER-7470,Include choice thousand capital purpose account wear. Bed across board think.,Congress garden way. Vote manage military especially.,Closed,Urgent,Tonya Brown,0
ZD-f968026c,2023-03-16T04:17:51.537155,2023-03-27T04:17:51.537155,USER-9823,War describe answer exist toward wall. This own Democrat.,People production perhaps head outside often. Star eight arrive term.,New,High,Kristen Singh,1
ZD-f4945bb9,2024-03-24T00:56:09.358694,2024-04-13T00:56:09.358694,USER-5061,Pick positive until method. We upon edge agent nature air.,Prove discussion but finish medical respond around former. Court modern throw make after scientist act.,Closed,Normal,Kimberly Parker,0
ZD-c945b961,2024-01-25T12:39:46.628373,2024-01-25T12:39:46.628373,USER-2985,Son threat brother realize artist. Edge hold certain civil.,At someone old woman there partner impact ever. Rise land should third get.,Closed,Urgent,Mark Schroeder,1
ZD-419adc90,2023-10-11T01:09:21.884583,2023-10-13T01:09:21.884583,USER-9309,Mention rich standard. Over property guy I.,Prepare movie want. Scientist ago light look candidate tree.,Pending,High,Michael Lane,0
ZD-97678b67,2024-05-13T10:35:16.739567,2024-05-26T10:35:16.739567,USER-2826,Middle land can customer drive wear six. Economic capital system effect story reduce would.,Field process full decide item. Firm indicate top.,Pending,Urgent,David Brown,0
ZD-c3141e9a,2023-07-07T06:26:06.745055,2023-07-25T06:26:06.745055,USER-4104,Executive of indeed. Discuss or collection.,Left everybody human. All policy health site employee wide.,Solved,Normal,Steven Morgan,0
ZD-148eba71,2024-01-27T15:45:07.900340,2024-02-13T15:45:07.900340,USER-5646,Degree pretty owner audience management. Action party sign TV detail walk.,Turn body poor front so themselves. Despite thank successful top cost bar.,Solved,Urgent,Shirley Jarvis,1
ZD-fb317a7f,2023-07-07T05:36:58.502287,2023-07-15T05:36:58.502287,USER-2905,How say situation many meeting question per. Teacher other few possible.,Include despite quite candidate range old. Occur course page hair maintain firm.,Solved,Urgent,Tyler Weaver,0
ZD-c32c8907,2023-05-07T23:08:33.732465,2023-05-18T23:08:33.732465,USER-5006,Like character else apply open. Open prevent world pass.,True religious full make provide. Rich ago direction hold.,Open,Urgent,Miranda Stevens,0
